Code Prefix,Code,Category,Sex,Age,2006,2011,2016
T03,T03-3,Social Marital Status,Females,20 - 24,911,992,941
T03,T03-3,Social Marital Status,Persons,20 - 24,1890,2208,2176
T03,T03-TOT,Social Marital Status,Males,25 - 29,1159,1735,1719
T03,T03-TOT,Social Marital Status,Females,25 - 29,1196,1640,1777
T03,T03-TOT,Social Marital Status,Persons,25 - 29,2361,3372,3498
T03,T03-1,Social Marital Status,Males,25 - 29,208,359,285
T03,T03-1,Social Marital Status,Females,25 - 29,329,580,502
T03,T03-1,Social Marital Status,Persons,25 - 29,543,935,790
T03,T03-2,Social Marital Status,Males,25 - 29,267,355,416
T03,T03-2,Social Marital Status,Females,25 - 29,342,405,506
T03,T03-2,Social Marital Status,Persons,25 - 29,607,763,930
T03,T03-3,Social Marital Status,Males,25 - 29,689,1018,1015
T03,T03-3,Social Marital Status,Females,25 - 29,530,664,767
T03,T03-3,Social Marital Status,Persons,25 - 29,1215,1678,1776
T03,T03-TOT,Social Marital Status,Males,30 - 34,1172,1472,1774
T03,T03-TOT,Social Marital Status,Females,30 - 34,1231,1446,1703
T03,T03-TOT,Social Marital Status,Persons,30 - 34,2407,2924,3476
T03,T03-1,Social Marital Status,Males,30 - 34,490,689,754
T03,T03-1,Social Marital Status,Females,30 - 34,597,779,863
T03,T03-1,Social Marital Status,Persons,30 - 34,1081,1470,1622
T03,T03-2,Social Marital Status,Males,30 - 34,229,283,400
T03,T03-2,Social Marital Status,Females,30 - 34,195,262,361
T03,T03-2,Social Marital Status,Persons,30 - 34,422,539,757
T03,T03-3,Social Marital Status,Males,30 - 34,458,504,621
T03,T03-3,Social Marital Status,Females,30 - 34,442,409,476
T03,T03-3,Social Marital Status,Persons,30 - 34,901,916,1099
T03,T03-TOT,Social Marital Status,Males,35 - 39,998,1225,1319
T03,T03-TOT,Social Marital Status,Females,35 - 39,950,1151,1237
T03,T03-TOT,Social Marital Status,Persons,35 - 39,1946,2375,2554
T03,T03-1,Social Marital Status,Males,35 - 39,469,692,729
T03,T03-1,Social Marital Status,Females,35 - 39,474,648,739
